SDS 2.3 RQ Results	1.2
Filename	140A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-140-A
Run DateTime	Mon Jul 12 09:45:24 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
91	Analyzed	hsa-miR-198-4395384	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
92	Analyzed	hsa-miR-199a-3p-4395415	CNMP-140-A	Target	27.100	7.850		0.000	1.000	false	0/1	false				
93	Analyzed	hsa-miR-199a-5p-4373272	CNMP-140-A	Target	35.558	16.309		0.000	1.000	false	0/1	false				
94	Analyzed	hsa-miR-199b-5p-4373100	CNMP-140-A	Target	34.507	15.258		0.000	1.000	false	0/1	false				
95	Analyzed	hsa-miR-19a-4373099	CNMP-140-A	Target	30.456	11.206		0.000	1.000	false	0/1	false				
96	Analyzed	hsa-miR-19b-4373098	CNMP-140-A	Target	27.209	7.960		0.000	1.000	false	0/1	false				
97	Analyzed	hsa-miR-200a-4378069	CNMP-140-A	Target	29.814	10.564		0.000	1.000	false	0/1	false				
98	Analyzed	hsa-miR-200b-4395362	CNMP-140-A	Target	26.405	7.156		0.000	1.000	false	0/1	false				
99	Analyzed	hsa-miR-200c-4395411	CNMP-140-A	Target	23.731	4.481		0.000	1.000	false	0/1	false				
100	Analyzed	hsa-miR-202-4395474	CNMP-140-A	Target	34.431	15.181		0.000	1.000	false	0/1	false				
101	Analyzed	hsa-miR-203-4373095	CNMP-140-A	Target	27.958	8.709		0.000	1.000	false	0/1	false				
102	Analyzed	hsa-miR-204-4373094	CNMP-140-A	Target	32.755	13.506		0.000	1.000	false	0/1	false				
103	Analyzed	hsa-miR-205-4373093	CNMP-140-A	Target	33.070	13.820		0.000	1.000	false	0/1	false				
104	Analyzed	hsa-miR-208-4373091	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
105	Analyzed	hsa-miR-208b-4395401	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
106	Analyzed	hsa-miR-20a-4373286	CNMP-140-A	Target	27.353	8.104		0.000	1.000	false	0/1	false				
107	Analyzed	hsa-miR-20b-4373263	CNMP-140-A	Target	31.563	12.313		0.000	1.000	false	0/1	false				
108	Analyzed	hsa-miR-21-4373090	CNMP-140-A	Target	26.742	7.493		0.000	1.000	false	0/1	false				
109	Analyzed	hsa-miR-210-4373089	CNMP-140-A	Target	29.707	10.457		0.000	1.000	false	0/1	false				
110	Analyzed	hsa-miR-211-4373088	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
111	Analyzed	hsa-miR-212-4373087	CNMP-140-A	Target	32.303	13.053		0.000	1.000	false	0/1	false				
112	Analyzed	hsa-miR-214-4395417	CNMP-140-A	Target	27.619	8.369		0.000	1.000	false	0/1	false				
113	Analyzed	hsa-miR-215-4373084	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
114	Analyzed	hsa-miR-216a-4395331	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
115	Analyzed	hsa-miR-216b-4395437	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
116	Analyzed	hsa-miR-217-4395448	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
117	Analyzed	hsa-miR-218-4373081	CNMP-140-A	Target	30.110	10.860		0.000	1.000	false	0/1	false				
118	Analyzed	hsa-miR-219-1-3p-4395206	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
119	Analyzed	hsa-miR-219-2-3p-4395501	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
120	Analyzed	hsa-miR-219-5p-4373080	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
121	Analyzed	hsa-miR-22-4373079	CNMP-140-A	Target	36.771	17.521		0.000	1.000	false	0/1	false				
122	Analyzed	hsa-miR-220-4373078	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
123	Analyzed	hsa-miR-220b-4395317	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
124	Analyzed	hsa-miR-220c-4395322	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
125	Analyzed	hsa-miR-221-4373077	CNMP-140-A	Target	29.034	9.785		0.000	1.000	false	0/1	false				
126	Analyzed	hsa-miR-222-4395387	CNMP-140-A	Target	22.268	3.018		0.000	1.000	false	0/1	false				
127	Analyzed	hsa-miR-223-4395406	CNMP-140-A	Target	22.473	3.224		0.000	1.000	false	0/1	false				
128	Analyzed	hsa-miR-224-4395210	CNMP-140-A	Target	30.347	11.097		0.000	1.000	false	0/1	false				
129	Analyzed	hsa-miR-23a-4373074	CNMP-140-A	Target	39.664	20.415		0.000	1.000	false	0/1	false				
130	Analyzed	hsa-miR-23b-4373073	CNMP-140-A	Target	31.476	12.226		0.000	1.000	false	0/1	false				
131	Analyzed	hsa-miR-24-4373072	CNMP-140-A	Target	21.982	2.732		0.000	1.000	false	0/1	false				
132	Analyzed	hsa-miR-25-4373071	CNMP-140-A	Target	28.800	9.550		0.000	1.000	false	0/1	false				
133	Analyzed	hsa-miR-26a-4395166	CNMP-140-A	Target	23.866	4.617		0.000	1.000	false	0/1	false				
134	Analyzed	hsa-miR-26b-4395167	CNMP-140-A	Target	27.009	7.759		0.000	1.000	false	0/1	false				
135	Analyzed	hsa-miR-27a-4373287	CNMP-140-A	Target	26.724	7.475		0.000	1.000	false	0/1	false				
136	Analyzed	hsa-miR-27b-4373068	CNMP-140-A	Target	29.158	9.909		0.000	1.000	false	0/1	false				
137	Analyzed	hsa-miR-28-3p-4395557	CNMP-140-A	Target	26.206	6.956		0.000	1.000	false	0/1	false				
138	Analyzed	hsa-miR-28-5p-4373067	CNMP-140-A	Target	28.768	9.519		0.000	1.000	false	0/1	false				
139	Analyzed	hsa-miR-296-3p-4395212	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
140	Analyzed	hsa-miR-296-5p-4373066	CNMP-140-A	Target	33.053	13.804		0.000	1.000	false	0/1	false				
141	Analyzed	hsa-miR-298-4395301	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
142	Analyzed	hsa-miR-299-3p-4373189	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
143	Analyzed	hsa-miR-299-5p-4373188	CNMP-140-A	Target	36.083	16.834		0.000	1.000	false	0/1	false				
144	Analyzed	hsa-miR-29a-4395223	CNMP-140-A	Target	23.903	4.653		0.000	1.000	false	0/1	false				
145	Analyzed	hsa-miR-29b-4373288	CNMP-140-A	Target	31.266	12.016		0.000	1.000	false	0/1	false				
146	Analyzed	hsa-miR-29c-4395171	CNMP-140-A	Target	27.481	8.232		0.000	1.000	false	0/1	false				
147	Analyzed	hsa-miR-301a-4373064	CNMP-140-A	Target	34.262	15.012		0.000	1.000	false	0/1	false				
148	Analyzed	hsa-miR-301b-4395503	CNMP-140-A	Target	36.963	17.714		0.000	1.000	false	0/1	false				
149	Analyzed	hsa-miR-302a-4378070	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
150	Analyzed	hsa-miR-302b-4378071	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
151	Analyzed	hsa-miR-302c-4378072	CNMP-140-A	Target	40.000	20.751				false	0/1	false				
152	Analyzed	hsa-miR-30b-4373290	CNMP-140-A	Target	23.994	4.744		0.000	1.000	false	0/1	false				
153	Analyzed	hsa-miR-30c-4373060	CNMP-140-A	Target	23.259	4.009		0.000	1.000	false	0/1	false				
