SDS 2.3 RQ Results	1.2
Filename	149A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-149-A
Run DateTime	Mon Sep 06 08:42:30 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
68	Analyzed	hsa-miR-16-4373121	CNMP-149-A	Target	23.095	3.244		0.000	1.000	false	0/1	false				
69	Analyzed	hsa-miR-17-4395419	CNMP-149-A	Target	24.252	4.401		0.000	1.000	false	0/1	false				
70	Analyzed	hsa-miR-181a-4373117	CNMP-149-A	Target	29.188	9.337		0.000	1.000	false	0/1	false				
71	Analyzed	hsa-miR-181c-4373115	CNMP-149-A	Target	36.001	16.150		0.000	1.000	false	0/1	false				
72	Analyzed	hsa-miR-182-4395445	CNMP-149-A	Target	32.794	12.943		0.000	1.000	false	0/1	false				
73	Analyzed	hsa-miR-183-4395380	CNMP-149-A	Target	34.917	15.066		0.000	1.000	false	0/1	false				
74	Analyzed	hsa-miR-184-4373113	CNMP-149-A	Target	32.283	12.432		0.000	1.000	false	0/1	false				
75	Analyzed	hsa-miR-185-4395382	CNMP-149-A	Target	30.814	10.963		0.000	1.000	false	0/1	false				
76	Analyzed	hsa-miR-186-4395396	CNMP-149-A	Target	26.750	6.899		0.000	1.000	false	0/1	false				
77	Analyzed	hsa-miR-187-4373307	CNMP-149-A	Target	34.420	14.569		0.000	1.000	false	0/1	false				
78	Analyzed	hsa-miR-188-3p-4395217	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
79	Analyzed	hsa-miR-18a-4395533	CNMP-149-A	Target	31.740	11.889		0.000	1.000	false	0/1	false				
80	Analyzed	hsa-miR-18b-4395328	CNMP-149-A	Target	38.103	18.252		0.000	1.000	false	0/1	false				
81	Analyzed	hsa-miR-190-4373110	CNMP-149-A	Target	35.108	15.257		0.000	1.000	false	0/1	false				
82	Analyzed	hsa-miR-191-4395410	CNMP-149-A	Target	23.920	4.069		0.000	1.000	false	0/1	false				
83	Analyzed	hsa-miR-192-4373108	CNMP-149-A	Target	30.823	10.972		0.000	1.000	false	0/1	false				
84	Analyzed	hsa-miR-193a-3p-4395361	CNMP-149-A	Target	31.956	12.105		0.000	1.000	false	0/1	false				
85	Analyzed	hsa-miR-193a-5p-4395392	CNMP-149-A	Target	31.163	11.312		0.000	1.000	false	0/1	false				
86	Analyzed	hsa-miR-193b-4395478	CNMP-149-A	Target	25.679	5.828		0.000	1.000	false	0/1	false				
87	Analyzed	hsa-miR-194-4373106	CNMP-149-A	Target	30.930	11.079		0.000	1.000	false	0/1	false				
88	Analyzed	hsa-miR-195-4373105	CNMP-149-A	Target	26.325	6.474		0.000	1.000	false	0/1	false				
89	Analyzed	hsa-miR-196b-4395326	CNMP-149-A	Target	34.146	14.295		0.000	1.000	false	0/1	false				
90	Analyzed	hsa-miR-197-4373102	CNMP-149-A	Target	30.404	10.553		0.000	1.000	false	0/1	false				
91	Analyzed	hsa-miR-198-4395384	CNMP-149-A	Target	38.308	18.457		0.000	1.000	false	0/1	false				
92	Analyzed	hsa-miR-199a-3p-4395415	CNMP-149-A	Target	25.428	5.577		0.000	1.000	false	0/1	false				
93	Analyzed	hsa-miR-199a-5p-4373272	CNMP-149-A	Target	32.450	12.599		0.000	1.000	false	0/1	false				
94	Analyzed	hsa-miR-199b-5p-4373100	CNMP-149-A	Target	32.369	12.518		0.000	1.000	false	0/1	false				
95	Analyzed	hsa-miR-19a-4373099	CNMP-149-A	Target	29.401	9.550		0.000	1.000	false	0/1	false				
96	Analyzed	hsa-miR-19b-4373098	CNMP-149-A	Target	25.311	5.460		0.000	1.000	false	0/1	false				
97	Analyzed	hsa-miR-200a-4378069	CNMP-149-A	Target	28.196	8.345		0.000	1.000	false	0/1	false				
98	Analyzed	hsa-miR-200b-4395362	CNMP-149-A	Target	25.877	6.026		0.000	1.000	false	0/1	false				
99	Analyzed	hsa-miR-200c-4395411	CNMP-149-A	Target	24.605	4.754		0.000	1.000	false	0/1	false				
100	Analyzed	hsa-miR-202-4395474	CNMP-149-A	Target	33.043	13.192		0.000	1.000	false	0/1	false				
101	Analyzed	hsa-miR-203-4373095	CNMP-149-A	Target	28.177	8.326		0.000	1.000	false	0/1	false				
102	Analyzed	hsa-miR-204-4373094	CNMP-149-A	Target	32.655	12.803		0.000	1.000	false	0/1	false				
103	Analyzed	hsa-miR-205-4373093	CNMP-149-A	Target	29.146	9.295		0.000	1.000	false	0/1	false				
104	Analyzed	hsa-miR-208-4373091	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
105	Analyzed	hsa-miR-208b-4395401	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
106	Analyzed	hsa-miR-20a-4373286	CNMP-149-A	Target	26.200	6.349		0.000	1.000	false	0/1	false				
107	Analyzed	hsa-miR-20b-4373263	CNMP-149-A	Target	30.395	10.544		0.000	1.000	false	0/1	false				
108	Analyzed	hsa-miR-21-4373090	CNMP-149-A	Target	23.703	3.852		0.000	1.000	false	0/1	false				
109	Analyzed	hsa-miR-210-4373089	CNMP-149-A	Target	27.573	7.722		0.000	1.000	false	0/1	false				
110	Analyzed	hsa-miR-211-4373088	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
111	Analyzed	hsa-miR-212-4373087	CNMP-149-A	Target	32.416	12.565		0.000	1.000	false	0/1	false				
112	Analyzed	hsa-miR-214-4395417	CNMP-149-A	Target	26.981	7.130		0.000	1.000	false	0/1	false				
113	Analyzed	hsa-miR-215-4373084	CNMP-149-A	Target	34.884	15.033		0.000	1.000	false	0/1	false				
114	Analyzed	hsa-miR-216a-4395331	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
115	Analyzed	hsa-miR-216b-4395437	CNMP-149-A	Target	36.759	16.908		0.000	1.000	false	0/1	false				
116	Analyzed	hsa-miR-217-4395448	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
117	Analyzed	hsa-miR-218-4373081	CNMP-149-A	Target	29.629	9.778		0.000	1.000	false	0/1	false				
118	Analyzed	hsa-miR-219-1-3p-4395206	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
119	Analyzed	hsa-miR-219-2-3p-4395501	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
120	Analyzed	hsa-miR-219-5p-4373080	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
121	Analyzed	hsa-miR-22-4373079	CNMP-149-A	Target	32.097	12.246		0.000	1.000	false	0/1	false				
122	Analyzed	hsa-miR-220-4373078	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
123	Analyzed	hsa-miR-220b-4395317	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
124	Analyzed	hsa-miR-220c-4395322	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
125	Analyzed	hsa-miR-221-4373077	CNMP-149-A	Target	28.232	8.381		0.000	1.000	false	0/1	false				
126	Analyzed	hsa-miR-222-4395387	CNMP-149-A	Target	22.014	2.163		0.000	1.000	false	0/1	false				
127	Analyzed	hsa-miR-223-4395406	CNMP-149-A	Target	22.900	3.049		0.000	1.000	false	0/1	false				
128	Analyzed	hsa-miR-224-4395210	CNMP-149-A	Target	28.350	8.499		0.000	1.000	false	0/1	false				
129	Analyzed	hsa-miR-23a-4373074	CNMP-149-A	Target	38.041	18.190		0.000	1.000	false	0/1	false				
130	Analyzed	hsa-miR-23b-4373073	CNMP-149-A	Target	31.970	12.119		0.000	1.000	false	0/1	false				
131	Analyzed	hsa-miR-24-4373072	CNMP-149-A	Target	22.420	2.569		0.000	1.000	false	0/1	false				
132	Analyzed	hsa-miR-25-4373071	CNMP-149-A	Target	29.215	9.364		0.000	1.000	false	0/1	false				
133	Analyzed	hsa-miR-26a-4395166	CNMP-149-A	Target	23.791	3.940		0.000	1.000	false	0/1	false				
134	Analyzed	hsa-miR-26b-4395167	CNMP-149-A	Target	26.619	6.768		0.000	1.000	false	0/1	false				
135	Analyzed	hsa-miR-27a-4373287	CNMP-149-A	Target	25.996	6.145		0.000	1.000	false	0/1	false				
136	Analyzed	hsa-miR-27b-4373068	CNMP-149-A	Target	28.949	9.098		0.000	1.000	false	0/1	false				
137	Analyzed	hsa-miR-28-3p-4395557	CNMP-149-A	Target	26.787	6.936		0.000	1.000	false	0/1	false				
138	Analyzed	hsa-miR-28-5p-4373067	CNMP-149-A	Target	29.168	9.317		0.000	1.000	false	0/1	false				
139	Analyzed	hsa-miR-296-3p-4395212	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
140	Analyzed	hsa-miR-296-5p-4373066	CNMP-149-A	Target	33.933	14.082		0.000	1.000	false	0/1	false				
141	Analyzed	hsa-miR-298-4395301	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
142	Analyzed	hsa-miR-299-3p-4373189	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
143	Analyzed	hsa-miR-299-5p-4373188	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
144	Analyzed	hsa-miR-29a-4395223	CNMP-149-A	Target	24.152	4.301		0.000	1.000	false	0/1	false				
145	Analyzed	hsa-miR-29b-4373288	CNMP-149-A	Target	30.966	11.115		0.000	1.000	false	0/1	false				
146	Analyzed	hsa-miR-29c-4395171	CNMP-149-A	Target	29.018	9.167		0.000	1.000	false	0/1	false				
147	Analyzed	hsa-miR-301a-4373064	CNMP-149-A	Target	32.105	12.254		0.000	1.000	false	0/1	false				
148	Analyzed	hsa-miR-301b-4395503	CNMP-149-A	Target	37.732	17.881		0.000	1.000	false	0/1	false				
149	Analyzed	hsa-miR-302a-4378070	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
150	Analyzed	hsa-miR-302b-4378071	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
151	Analyzed	hsa-miR-302c-4378072	CNMP-149-A	Target	37.039	17.188		0.000	1.000	false	0/1	false				
152	Analyzed	hsa-miR-30b-4373290	CNMP-149-A	Target	24.960	5.109		0.000	1.000	false	0/1	false				
153	Analyzed	hsa-miR-30c-4373060	CNMP-149-A	Target	24.197	4.346		0.000	1.000	false	0/1	false				
154	Analyzed	hsa-miR-31-4395390	CNMP-149-A	Target	26.840	6.989		0.000	1.000	false	0/1	false				
155	Analyzed	hsa-miR-32-4395220	CNMP-149-A	Target	34.940	15.089		0.000	1.000	false	0/1	false				
156	Analyzed	hsa-miR-320-4395388	CNMP-149-A	Target	25.613	5.762		0.000	1.000	false	0/1	false				
157	Analyzed	hsa-miR-323-3p-4395338	CNMP-149-A	Target	32.444	12.593		0.000	1.000	false	0/1	false				
158	Analyzed	hsa-miR-324-3p-4395272	CNMP-149-A	Target	30.663	10.812		0.000	1.000	false	0/1	false				
159	Analyzed	hsa-miR-324-5p-4373052	CNMP-149-A	Target	30.401	10.550		0.000	1.000	false	0/1	false				
160	Analyzed	hsa-miR-325-4373051	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
161	Analyzed	hsa-miR-326-4373050	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
162	Analyzed	hsa-miR-328-4373049	CNMP-149-A	Target	30.451	10.600		0.000	1.000	false	0/1	false				
163	Analyzed	hsa-miR-329-4373191	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
164	Analyzed	hsa-miR-330-3p-4373047	CNMP-149-A	Target	35.221	15.370		0.000	1.000	false	0/1	false				
165	Analyzed	hsa-miR-330-5p-4395341	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
166	Analyzed	hsa-miR-331-3p-4373046	CNMP-149-A	Target	26.868	7.017		0.000	1.000	false	0/1	false				
167	Analyzed	hsa-miR-331-5p-4395344	CNMP-149-A	Target	35.335	15.484		0.000	1.000	false	0/1	false				
168	Analyzed	hsa-miR-335-4373045	CNMP-149-A	Target	32.079	12.228		0.000	1.000	false	0/1	false				
169	Analyzed	hsa-miR-337-5p-4395267	CNMP-149-A	Target	34.786	14.935		0.000	1.000	false	0/1	false				
170	Analyzed	hsa-miR-338-3p-4395363	CNMP-149-A	Target	33.266	13.415		0.000	1.000	false	0/1	false				
171	Analyzed	hsa-miR-339-3p-4395295	CNMP-149-A	Target	30.061	10.210		0.000	1.000	false	0/1	false				
172	Analyzed	hsa-miR-339-5p-4395368	CNMP-149-A	Target	32.336	12.485		0.000	1.000	false	0/1	false				
173	Analyzed	hsa-miR-33b-4395196	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
174	Analyzed	hsa-miR-340-4395369	CNMP-149-A	Target	30.815	10.964		0.000	1.000	false	0/1	false				
175	Analyzed	hsa-miR-342-3p-4395371	CNMP-149-A	Target	24.992	5.141		0.000	1.000	false	0/1	false				
176	Analyzed	hsa-miR-342-5p-4395258	CNMP-149-A	Target	35.132	15.281		0.000	1.000	false	0/1	false				
177	Analyzed	hsa-miR-345-4395297	CNMP-149-A	Target	27.653	7.802		0.000	1.000	false	0/1	false				
178	Analyzed	hsa-miR-346-4373038	CNMP-149-A	Target	40.000	20.149				false	0/1	false				
179	Analyzed	hsa-miR-34a-4395168	CNMP-149-A	Target	25.471	5.620		0.000	1.000	false	0/1	false				
180	Analyzed	hsa-miR-34c-5p-4373036	CNMP-149-A	Target	31.565	11.714		0.000	1.000	false	0/1	false				
181	Analyzed	hsa-miR-361-5p-4373035	CNMP-149-A	Target	32.205	12.354		0.000	1.000	false	0/1	false				
182	Analyzed	hsa-miR-362-3p-4395228	CNMP-149-A	Target	34.779	14.928		0.000	1.000	false	0/1	false				
183	Analyzed	hsa-miR-362-5p-4378092	CNMP-149-A	Target	31.417	11.566		0.000	1.000	false	0/1	false				
