SDS 2.3 RQ Results	1.2
Filename	145A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-145-A
Run DateTime	Sun Jul 18 14:24:02 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
84	Analyzed	hsa-miR-193a-3p-4395361	CNMP-145-A	Target	31.811	12.285		0.000	1.000	false	0/1	false				
85	Analyzed	hsa-miR-193a-5p-4395392	CNMP-145-A	Target	30.360	10.834		0.000	1.000	false	0/1	false				
86	Analyzed	hsa-miR-193b-4395478	CNMP-145-A	Target	26.340	6.813		0.000	1.000	false	0/1	false				
87	Analyzed	hsa-miR-194-4373106	CNMP-145-A	Target	32.569	13.042		0.000	1.000	false	0/1	false				
88	Analyzed	hsa-miR-195-4373105	CNMP-145-A	Target	28.217	8.691		0.000	1.000	false	0/1	false				
89	Analyzed	hsa-miR-196b-4395326	CNMP-145-A	Target	31.199	11.672		0.000	1.000	false	0/1	false				
90	Analyzed	hsa-miR-197-4373102	CNMP-145-A	Target	29.554	10.028		0.000	1.000	false	0/1	false				
91	Analyzed	hsa-miR-198-4395384	CNMP-145-A	Target	36.160	16.634		0.000	1.000	false	0/1	false				
92	Analyzed	hsa-miR-199a-3p-4395415	CNMP-145-A	Target	26.433	6.907		0.000	1.000	false	0/1	false				
93	Analyzed	hsa-miR-199a-5p-4373272	CNMP-145-A	Target	34.137	14.611		0.000	1.000	false	0/1	false				
94	Analyzed	hsa-miR-199b-5p-4373100	CNMP-145-A	Target	34.360	14.834		0.000	1.000	false	0/1	false				
95	Analyzed	hsa-miR-19a-4373099	CNMP-145-A	Target	30.043	10.517		0.000	1.000	false	0/1	false				
96	Analyzed	hsa-miR-19b-4373098	CNMP-145-A	Target	26.349	6.822		0.000	1.000	false	0/1	false				
97	Analyzed	hsa-miR-200a-4378069	CNMP-145-A	Target	28.484	8.958		0.000	1.000	false	0/1	false				
98	Analyzed	hsa-miR-200b-4395362	CNMP-145-A	Target	24.927	5.401		0.000	1.000	false	0/1	false				
99	Analyzed	hsa-miR-200c-4395411	CNMP-145-A	Target	22.921	3.394		0.000	1.000	false	0/1	false				
100	Analyzed	hsa-miR-202-4395474	CNMP-145-A	Target	32.201	12.675		0.000	1.000	false	0/1	false				
101	Analyzed	hsa-miR-203-4373095	CNMP-145-A	Target	25.834	6.308		0.000	1.000	false	0/1	false				
102	Analyzed	hsa-miR-204-4373094	CNMP-145-A	Target	30.854	11.328		0.000	1.000	false	0/1	false				
103	Analyzed	hsa-miR-205-4373093	CNMP-145-A	Target	25.997	6.470		0.000	1.000	false	0/1	false				
104	Analyzed	hsa-miR-208-4373091	CNMP-145-A	Target	36.512	16.986		0.000	1.000	false	0/1	false				
105	Analyzed	hsa-miR-208b-4395401	CNMP-145-A	Target	39.403	19.877		0.000	1.000	false	0/1	false				
106	Analyzed	hsa-miR-20a-4373286	CNMP-145-A	Target	26.886	7.359		0.000	1.000	false	0/1	false				
107	Analyzed	hsa-miR-20b-4373263	CNMP-145-A	Target	29.105	9.579		0.000	1.000	false	0/1	false				
108	Analyzed	hsa-miR-21-4373090	CNMP-145-A	Target	25.394	5.867		0.000	1.000	false	0/1	false				
109	Analyzed	hsa-miR-210-4373089	CNMP-145-A	Target	26.661	7.135		0.000	1.000	false	0/1	false				
110	Analyzed	hsa-miR-211-4373088	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
111	Analyzed	hsa-miR-212-4373087	CNMP-145-A	Target	31.276	11.750		0.000	1.000	false	0/1	false				
112	Analyzed	hsa-miR-214-4395417	CNMP-145-A	Target	27.232	7.706		0.000	1.000	false	0/1	false				
113	Analyzed	hsa-miR-215-4373084	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
114	Analyzed	hsa-miR-216a-4395331	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
115	Analyzed	hsa-miR-216b-4395437	CNMP-145-A	Target	37.091	17.564		0.000	1.000	false	0/1	false				
116	Analyzed	hsa-miR-217-4395448	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
117	Analyzed	hsa-miR-218-4373081	CNMP-145-A	Target	31.446	11.920		0.000	1.000	false	0/1	false				
118	Analyzed	hsa-miR-219-1-3p-4395206	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
