SDS 2.3 RQ Results	1.2
Filename	131A.sdm
Assay Type	RQ Study
EmbeddedFile	B04-17112-A
Run DateTime	Wed Jun 03 16:06:28 GMT 2009
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
86	Analyzed	hsa-miR-193b-4395478	B04-17112-A	Target	26.045	0.105		0.000	1.000	false	0/1	false				
87	Analyzed	hsa-miR-194-4373106	B04-17112-A	Target	31.109	5.170		0.000	1.000	false	0/1	false				
88	Analyzed	hsa-miR-195-4373105	B04-17112-A	Target	30.298	4.358		0.000	1.000	false	0/1	false				
89	Analyzed	hsa-miR-196b-4395326	B04-17112-A	Target	40.000	14.060				false	0/1	false				
90	Analyzed	hsa-miR-197-4373102	B04-17112-A	Target	33.272	7.332		0.000	1.000	false	0/1	false				
91	Analyzed	hsa-miR-198-4395384	B04-17112-A	Target	40.000	14.060				false	0/1	false				
92	Analyzed	hsa-miR-199a-3p-4395415	B04-17112-A	Target	26.454	0.514		0.000	1.000	false	0/1	false				
93	Analyzed	hsa-miR-199a-5p-4373272	B04-17112-A	Target	39.492	13.552		0.000	1.000	false	0/1	false				
94	Analyzed	hsa-miR-199b-5p-4373100	B04-17112-A	Target	39.623	13.683		0.000	1.000	false	0/1	false				
95	Analyzed	hsa-miR-19a-4373099	B04-17112-A	Target	30.552	4.612		0.000	1.000	false	0/1	false				
96	Analyzed	hsa-miR-19b-4373098	B04-17112-A	Target	26.890	0.951		0.000	1.000	false	0/1	false				
97	Analyzed	hsa-miR-200a-4378069	B04-17112-A	Target	28.966	3.026		0.000	1.000	false	0/1	false				
98	Analyzed	hsa-miR-200b-4395362	B04-17112-A	Target	26.092	0.153		0.000	1.000	false	0/1	false				
99	Analyzed	hsa-miR-200c-4395411	B04-17112-A	Target	23.029	-2.911		0.000	1.000	false	0/1	false				
100	Analyzed	hsa-miR-202-4395474	B04-17112-A	Target	40.000	14.060				false	0/1	false				
101	Analyzed	hsa-miR-203-4373095	B04-17112-A	Target	28.875	2.935		0.000	1.000	false	0/1	false				
102	Analyzed	hsa-miR-204-4373094	B04-17112-A	Target	36.668	10.728		0.000	1.000	false	0/1	false				
103	Analyzed	hsa-miR-205-4373093	B04-17112-A	Target	30.728	4.789		0.000	1.000	false	0/1	false				
104	Analyzed	hsa-miR-208-4373091	B04-17112-A	Target	40.000	14.060				false	0/1	false				
105	Analyzed	hsa-miR-208b-4395401	B04-17112-A	Target	40.000	14.060				false	0/1	false				
106	Analyzed	hsa-miR-20a-4373286	B04-17112-A	Target	28.406	2.466		0.000	1.000	false	0/1	false				
107	Analyzed	hsa-miR-20b-4373263	B04-17112-A	Target	31.358	5.418		0.000	1.000	false	0/1	false				
108	Analyzed	hsa-miR-21-4373090	B04-17112-A	Target	24.269	-1.670		0.000	1.000	false	0/1	false				
109	Analyzed	hsa-miR-210-4373089	B04-17112-A	Target	28.608	2.669		0.000	1.000	false	0/1	false				
110	Analyzed	hsa-miR-211-4373088	B04-17112-A	Target	40.000	14.060				false	0/1	false				
111	Analyzed	hsa-miR-212-4373087	B04-17112-A	Target	36.504	10.564		0.000	1.000	false	0/1	false				
112	Analyzed	hsa-miR-214-4395417	B04-17112-A	Target	27.686	1.746		0.000	1.000	false	0/1	false				
113	Analyzed	hsa-miR-215-4373084	B04-17112-A	Target	40.000	14.060				false	0/1	false				
114	Analyzed	hsa-miR-216a-4395331	B04-17112-A	Target	40.000	14.060				false	0/1	false				
115	Analyzed	hsa-miR-216b-4395437	B04-17112-A	Target	40.000	14.060				false	0/1	false				
116	Analyzed	hsa-miR-217-4395448	B04-17112-A	Target	40.000	14.060				false	0/1	false				
117	Analyzed	hsa-miR-218-4373081	B04-17112-A	Target	30.118	4.178		0.000	1.000	false	0/1	false				
118	Analyzed	hsa-miR-219-1-3p-4395206	B04-17112-A	Target	40.000	14.060				false	0/1	false				
119	Analyzed	hsa-miR-219-2-3p-4395501	B04-17112-A	Target	40.000	14.060				false	0/1	false				
120	Analyzed	hsa-miR-219-5p-4373080	B04-17112-A	Target	40.000	14.060				false	0/1	false				
121	Analyzed	hsa-miR-22-4373079	B04-17112-A	Target	30.063	4.123		0.000	1.000	false	0/1	false				
122	Analyzed	hsa-miR-220-4373078	B04-17112-A	Target	40.000	14.060				false	0/1	false				
123	Analyzed	hsa-miR-220b-4395317	B04-17112-A	Target	40.000	14.060				false	0/1	false				
124	Analyzed	hsa-miR-220c-4395322	B04-17112-A	Target	40.000	14.060				false	0/1	false				
125	Analyzed	hsa-miR-221-4373077	B04-17112-A	Target	29.151	3.211		0.000	1.000	false	0/1	false				
126	Analyzed	hsa-miR-222-4395387	B04-17112-A	Target	26.170	0.230		0.000	1.000	false	0/1	false				
127	Analyzed	hsa-miR-223-4395406	B04-17112-A	Target	25.156	-0.784		0.000	1.000	false	0/1	false				
128	Analyzed	hsa-miR-224-4395210	B04-17112-A	Target	30.799	4.859		0.000	1.000	false	0/1	false				
129	Analyzed	hsa-miR-23a-4373074	B04-17112-A	Target	37.093	11.154		0.000	1.000	false	0/1	false				
130	Analyzed	hsa-miR-23b-4373073	B04-17112-A	Target	31.552	5.612		0.000	1.000	false	0/1	false				
131	Analyzed	hsa-miR-24-4373072	B04-17112-A	Target	23.597	-2.343		0.000	1.000	false	0/1	false				
132	Analyzed	hsa-miR-25-4373071	B04-17112-A	Target	30.819	4.879		0.000	1.000	false	0/1	false				
133	Analyzed	hsa-miR-26a-4395166	B04-17112-A	Target	26.083	0.143		0.000	1.000	false	0/1	false				
134	Analyzed	hsa-miR-26b-4395167	B04-17112-A	Target	28.070	2.131		0.000	1.000	false	0/1	false				
135	Analyzed	hsa-miR-27a-4373287	B04-17112-A	Target	28.513	2.573		0.000	1.000	false	0/1	false				
136	Analyzed	hsa-miR-27b-4373068	B04-17112-A	Target	29.791	3.851		0.000	1.000	false	0/1	false				
137	Analyzed	hsa-miR-28-3p-4395557	B04-17112-A	Target	28.436	2.497		0.000	1.000	false	0/1	false				
138	Analyzed	hsa-miR-28-5p-4373067	B04-17112-A	Target	29.463	3.523		0.000	1.000	false	0/1	false				
139	Analyzed	hsa-miR-296-3p-4395212	B04-17112-A	Target	40.000	14.060				false	0/1	false				
140	Analyzed	hsa-miR-296-5p-4373066	B04-17112-A	Target	40.000	14.060				false	0/1	false				
141	Analyzed	hsa-miR-298-4395301	B04-17112-A	Target	40.000	14.060				false	0/1	false				
142	Analyzed	hsa-miR-299-3p-4373189	B04-17112-A	Target	40.000	14.060				false	0/1	false				
143	Analyzed	hsa-miR-299-5p-4373188	B04-17112-A	Target	39.876	13.936		0.000	1.000	false	0/1	false				
144	Analyzed	hsa-miR-29a-4395223	B04-17112-A	Target	25.516	-0.424		0.000	1.000	false	0/1	false				
145	Analyzed	hsa-miR-29b-4373288	B04-17112-A	Target	32.746	6.806		0.000	1.000	false	0/1	false				
146	Analyzed	hsa-miR-29c-4395171	B04-17112-A	Target	36.465	10.525		0.000	1.000	false	0/1	false				
147	Analyzed	hsa-miR-301a-4373064	B04-17112-A	Target	32.392	6.452		0.000	1.000	false	0/1	false				
148	Analyzed	hsa-miR-301b-4395503	B04-17112-A	Target	33.607	7.667		0.000	1.000	false	0/1	false				
149	Analyzed	hsa-miR-302a-4378070	B04-17112-A	Target	40.000	14.060				false	0/1	false				
150	Analyzed	hsa-miR-302b-4378071	B04-17112-A	Target	40.000	14.060				false	0/1	false				
151	Analyzed	hsa-miR-302c-4378072	B04-17112-A	Target	40.000	14.060				false	0/1	false				
152	Analyzed	hsa-miR-30b-4373290	B04-17112-A	Target	25.659	-0.280		0.000	1.000	false	0/1	false				
153	Analyzed	hsa-miR-30c-4373060	B04-17112-A	Target	25.791	-0.148		0.000	1.000	false	0/1	false				
154	Analyzed	hsa-miR-31-4395390	B04-17112-A	Target	29.421	3.482		0.000	1.000	false	0/1	false				
155	Analyzed	hsa-miR-32-4395220	B04-17112-A	Target	34.213	8.273		0.000	1.000	false	0/1	false				
156	Analyzed	hsa-miR-320-4395388	B04-17112-A	Target	25.440	-0.499		0.000	1.000	false	0/1	false				
157	Analyzed	hsa-miR-323-3p-4395338	B04-17112-A	Target	29.473	3.533		0.000	1.000	false	0/1	false				
158	Analyzed	hsa-miR-324-3p-4395272	B04-17112-A	Target	30.071	4.131		0.000	1.000	false	0/1	false				
159	Analyzed	hsa-miR-324-5p-4373052	B04-17112-A	Target	29.963	4.023		0.000	1.000	false	0/1	false				
